id,thomas_id,api_uri,first_name,middle_name,last_name,party,twitter_account,facebook_account,facebook_id,instagram,url,rss_url,domain,dw_nominate,ideal_point,seniority,next_election,state,district,missed_votes_pct,votes_with_party_pct,chamber,fblike.16.22.5.115,twtrfol-18-23-6-2015
A000055,1460,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000055.json,Robert,B.,Aderholt,R,Robert_Aderholt,RobertAderholt,19787529402,robert_aderholt,http://aderholt.house.gov,http://aderholt.house.gov/common/rss//index.cfm?rss=20,aderholt.house.gov,NA,NA,20,2014,AL,4,0,94.34,house,8232,8610
A000367,2029,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000367.json,Justin,NA,Amash,R,RepJustinAmash,repjustinamash,1.74E+14,justinamash,http://amash.house.gov,http://amash.house.gov/rss.xml,amash.house.gov,NA,NA,6,2014,MI,3,0,79.25,house,100849,0
A000369,2090,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/A000369.json,Mark,NA,Amodei,R,MarkAmodeiNV2,MarkAmodeiNV2,3.07E+14,markamodeinv2,http://amodei.house.gov,http://amodei.house.gov/common/rss//?rss=49,amodei.house.gov,NA,NA,6,2014,NV,2,3.77,94.12,house,5327,5373
B000213,62,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000213.json,Joe,L.,Barton,R,RepJoeBarton,RepJoeBarton,15617630596,RepJoeBarton,http://joebarton.house.gov,,joebarton.house.gov,NA,NA,32,2014,TX,6,7.55,95.92,house,6300,14900
B000287,70,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000287.json,Xavier,NA,Becerra,D,RepBecerra,XavierBecerra,90311772229,repbecerra,http://becerra.house.gov,http://becerra.house.gov/rss/latest-news.xml,becerra.house.gov,NA,NA,24,2014,CA,34,0,96.23,house,19190,18258
B000490,91,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000490.json,Sanford,D.,Bishop Jr.,D,SanfordBishop,sanfordbishop,3.67E+11,sanfordbishop,http://bishop.house.gov,http://bishop.house.gov/rss.xml,bishop.house.gov,NA,NA,24,2014,GA,2,0,86.79,house,4952,7357
B000589,102,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000589.json,John,A.,Boehner,R,SpeakerBoehner,SpeakerJohnBoehner,1.75E+14,speakerboehner,http://boehner.house.gov,http://boehner.house.gov/News/Rss.aspx,johnboehner.house.gov,NA,NA,26,NA,OH,8,98.11,0,house,91613,812256
B000755,1468,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000755.json,Kevin,NA,Brady,R,RepKevinBrady,kevinbrady,9307301412,repkevinbrady,http://kevinbrady.house.gov,http://kevinbrady.house.gov/common/rss/index.cfm?rss=49,kevinbrady.house.gov,NA,NA,20,2014,TX,8,9.43,95.83,house,8133,13585
B000911,132,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B000911.json,Corrine,NA,Brown,D,RepCorrineBrown,congresswomanbrown,1.79E+14,corrinebrown,http://corrinebrown.house.gov,http://corrinebrown.house.gov/index.php?option=com_ninjarsssyndicator&amp;feed_id=1&amp;format=raw,corrinebrown.house.gov,NA,NA,24,2014,FL,5,0,96.23,house,6958,7551
B001227,1469,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/B001227.json,Robert,A.,Brady,D,RepBrady,RepRobertBrady,1.19E+11,repbrady,http://brady.house.gov,http://brady.house.gov/rss.xml,www.brady.house.gov,NA,NA,20,2014,PA,1,3.77,88.24,house,3992,6979
